Country,Year,Average_Monthly_Income,Cost_of_Living,Housing_Cost_Percentage,Tax_Rate,Savings_Percentage,Healthcare_Cost_Percentage,Education_Cost_Percentage,Transportation_Cost_Percentage,Region
Germany,2020,3391.5,2228.7,32.148936881464635,27.206423993393333,13.425087910041846,10.574238430494674,6.097492936164924,8.51238544760109,Europe
Germany,2021,3641.4,2392.92,33.59933579400098,27.033893012740045,14.180859502459843,9.756240622144013,6.640423538986685,9.56874584258711,Europe
Germany,2022,3714.2280000000005,2440.7784,34.31606588360873,28.86175842310223,12.865032428069693,9.729178583631157,5.171928157494953,9.745547228299891,Europe
Germany,2023,3788.51256,2489.593968,31.187950014114573,28.12514694921737,11.358565982866587,9.84629710425861,5.402227017138346,8.117835907488109,Europe
India,2019,600.0,400.0,29.421113098145923,9.379722226393348,20.073666899529616,7.550335809356558,4.735197044894905,7.217015780327292,Asia
India,2020,581.4,387.59999999999997,27.918996892476564,10.011856001830228,18.327026700898017,6.207982661897607,4.366711733437834,8.188102451600031,Asia
India,2021,624.24,416.15999999999997,29.604063691794966,9.536084541164268,18.1810768319582,7.173321075579388,4.227609222054895,8.35549354036119,Asia
India,2022,636.7248000000001,424.48320000000007,29.542606878866664,10.639065704940261,20.81521049660056,7.927726901790091,3.73129898863764,8.327330914362518,Asia
India,2023,649.459296,432.972864,29.453872218133043,10.858966173538361,19.349881083405517,7.847428050332586,3.0391925901151744,8.057944249118613,Asia
Japan,2019,3800.0,2400.0,32.43206518595804,26.119559935411363,12.00245774840489,9.655969595341503,5.512126524805162,9.891114407437968,Asia
Japan,2020,3682.2,2325.6,29.20887818335396,25.062427514452185,10.23229610473767,9.203152180265102,6.885025650462748,8.196613090342625,Asia
Japan,2021,3953.52,2496.96,32.909136797717764,26.233250232787782,13.409251253161823,10.809183861771565,6.151019285572211,8.07389069300722,Asia
Japan,2022,4032.5904000000005,2546.8992000000003,32.917559086582116,25.86121266891787,12.774018794407475,9.959541829946012,6.362445520277771,9.955701270847358,Asia
Japan,2023,4113.242208,2597.837184,32.82387307306456,26.900196488825543,13.56512442634533,9.590069221331046,6.814816769399272,9.310777655887634,Asia
Mexico,2019,1500.0,1100.0,36.913977840514114,15.155084990712187,8.278303522033527,10.014889133967499,6.929270578609046,12.216701731811769,North America
Mexico,2020,1453.5,1065.8999999999999,36.731346061737845,15.110379823110812,7.501659066962899,11.991111700523376,7.066574445221201,13.589531078456856,North America
Mexico,2021,1560.6,1144.44,35.60364998936913,14.866339249265371,6.118312395501427,11.084854153334954,6.9840923983363155,12.236037114248349,North America
Mexico,2022,1591.8120000000001,1167.3288000000002,37.53461609758175,15.965399063826318,8.252294352002366,11.586353963211005,6.655942372046032,13.2830165536144,North America
Mexico,2023,1623.64824,1190.675376,38.65618577821976,15.5738599035,9.85208393148882,11.655972450296643,6.070753736710726,13.805194481866986,North America
Russia,2019,1800.0,1200.0,30.532255847731918,13.633004063870047,13.915948004272362,8.58961246575228,5.553261430764568,9.53256369214686,Europe
Russia,2020,1744.1999999999998,1162.8,32.35987479896375,13.62087404350346,14.994792284227422,8.678994216033185,5.94252487686363,9.635092768183332,Europe
Russia,2021,1872.72,1248.48,33.30155556489975,12.806041901078231,15.399898236920567,8.10760068626215,6.161341754163542,10.650654684163097,Europe
Russia,2022,1910.1744000000003,1273.4496000000001,30.339432463958666,13.04218683095548,15.333899989569616,9.653347065656224,6.344948355335436,9.800939516443409,Europe
Russia,2023,1948.377888,1298.918592,32.16424979150852,13.117081202199872,13.567312384059973,8.044498778010833,6.219450430686811,9.62222090443577,Europe
South Africa,2019,1400.0,1000.0,36.01851883570013,19.96320562136319,9.462309600324843,9.001967367367993,5.172554779981645,12.192845960919904,Africa
South Africa,2020,1356.6,969.0,37.00780412590105,20.726336043977515,9.00848844352766,10.934753294072772,5.756698866992256,12.739576703623534,Africa
South Africa,2021,1456.56,1040.4,37.00576047585246,19.68265981230975,10.247664701449875,9.702896535446598,5.129227051346882,12.317276384564401,Africa
South Africa,2022,1485.6912000000002,1061.208,34.925637746493855,20.68406694660534,8.66729540454305,9.975268639344428,5.82460424255659,11.140349362650667,Africa
South Africa,2023,1515.405024,1082.43216,37.625894094318944,19.119425568666866,10.619546526183134,9.019247602462409,5.446854890337714,11.436468029989394,Africa
United States,2019,5000.0,3200.0,39.198684835440275,21.12434518164306,10.110339641076942,14.821948682450694,7.435182583258653,8.435324080435032,North America
United States,2020,4845.0,3100.7999999999997,39.48251567894881,22.24003003469145,10.453608880177459,13.368741783990219,6.460962263491359,8.707026956159906,North America
United States,2021,5202.0,3329.2799999999997,36.949139815933755,21.957141707500472,8.691302220683287,14.639814329194571,7.039170661637082,9.96569127762363,North America
United States,2022,5306.040000000001,3395.8656000000005,36.03874552382442,22.099493674042943,9.011802485178873,13.317657202908206,6.839487205845428,9.441499948930778,North America
United States,2023,5412.1608,3463.782912,39.020533127069505,22.297514831554558,10.65266704704892,13.865900863998684,6.333529074100438,9.820680799224602,North America
